              open   close    high     low         value   quantity                 end
begin                                                                                  
2023-06-14  245.70  244.60  247.68  242.80  1.282224e+10   52205640 2023-06-14 23:59:59
2023-06-15  245.11  245.18  245.94  243.22  9.807475e+09   40063590 2023-06-15 23:59:59
2023-06-16  245.50  243.87  245.90  243.70  5.729888e+09   23441160 2023-06-16 23:59:59
2023-06-19  244.47  242.28  244.69  241.32  7.239082e+09   29844240 2023-06-19 23:59:59
2023-06-20  241.99  241.74  242.22  238.82  8.820108e+09   36621960 2023-06-20 23:59:59
2023-06-21  241.90  242.20  243.92  240.60  6.509867e+09   26830770 2023-06-21 23:59:59
2023-06-22  242.15  240.66  242.80  240.13  5.590905e+09   23136750 2023-06-22 23:59:59
2023-06-23  239.98  235.67  240.99  234.34  1.473694e+10   61886110 2023-06-23 23:59:59
2023-06-26  239.60  238.40  240.50  233.40  1.950907e+10   82016390 2023-06-26 23:59:59
2023-06-27  239.02  241.21  242.34  236.80  1.235084e+10   51466410 2023-06-27 23:59:59
2023-06-28  241.80  239.67  241.80  238.60  6.793969e+09   28310570 2023-06-28 23:59:59
2023-06-29  239.94  239.99  241.26  239.02  6.771141e+09   28192150 2023-06-29 23:59:59
2023-06-30  240.00  239.61  240.68  238.36  5.759888e+09   24051460 2023-06-30 23:59:59
2023-07-03  240.00  243.33  244.56  239.15  1.146984e+10   47333310 2023-07-03 23:59:59
2023-07-04  243.40  240.70  243.78  240.61  1.005539e+10   41561500 2023-07-04 23:59:59
2023-07-05  241.49  240.95  241.90  240.24  4.814048e+09   19972080 2023-07-05 23:59:59
2023-07-06  241.47  240.96  242.47  240.71  5.618736e+09   23260340 2023-07-06 23:59:59
2023-07-07  241.49  243.67  243.75  240.70  7.332445e+09   30275210 2023-07-07 23:59:59
2023-07-10  244.21  249.40  249.45  244.20  1.607173e+10   65076680 2023-07-10 23:59:59
2023-07-11  250.01  247.99  250.20  246.51  1.229932e+10   49590820 2023-07-11 23:59:59
2023-07-12  248.40  247.52  249.20  246.10  9.753032e+09   39316540 2023-07-12 23:59:59
2023-07-13  247.97  246.19  248.15  245.34  7.288359e+09   29561460 2023-07-13 23:59:59
2023-07-14  246.32  246.45  247.05  244.51  6.311038e+09   25661560 2023-07-14 23:59:59
2023-07-17  244.77  245.39  246.20  243.60  8.878816e+09   36193390 2023-07-17 23:59:59
2023-07-18  245.80  246.77  247.50  245.26  8.881118e+09   36008340 2023-07-18 23:59:59
2023-07-19  247.25  245.85  248.10  245.00  7.752931e+09   31451760 2023-07-19 23:59:59
2023-07-20  246.27  242.70  246.27  242.15  8.801179e+09   36027010 2023-07-20 23:59:59
2023-07-21  243.18  244.13  244.53  241.70  7.857419e+09   32271770 2023-07-21 23:59:59
2023-07-24  244.00  244.87  245.85  243.52  4.841186e+09   19769440 2023-07-24 23:59:59
2023-07-25  245.48  247.20  247.77  244.81  9.802524e+09   39733390 2023-07-25 23:59:59
2023-07-26  247.20  247.05  248.33  245.90  6.452767e+09   26119270 2023-07-26 23:59:59
2023-07-27  247.50  247.95  249.30  247.24  9.888954e+09   39793470 2023-07-27 23:59:59
2023-07-28  248.00  249.25  249.45  246.67  8.882596e+09   35776620 2023-07-28 23:59:59
2023-07-31  251.33  267.40  267.77  251.33  4.358833e+10  167914420 2023-07-31 23:59:59
2023-08-01  269.00  268.50  273.35  264.10  4.386791e+10  162988910 2023-08-01 23:59:59
2023-08-02  268.50  268.57  269.97  266.52  1.299479e+10   48418320 2023-08-02 23:59:59
2023-08-03  269.00  269.11  271.35  266.80  2.041004e+10   75757120 2023-08-03 23:59:59
2023-08-04  269.48  264.12  272.96  261.21  3.535684e+10  132212230 2023-08-04 23:59:59
2023-08-07  266.54  261.92  268.09  260.50  1.629893e+10   61531090 2023-08-07 23:59:59
2023-08-08  261.92  264.62  265.44  258.80  1.704170e+10   65114820 2023-08-08 23:59:59
2023-08-09  265.47  263.91  265.80  263.05  9.249536e+09   34994150 2023-08-09 23:59:59
2023-08-10  264.73  266.91  267.50  263.96  9.917152e+09   37292060 2023-08-10 23:59:59
2023-08-11  267.26  266.23  267.40  264.80  6.609842e+09   24846460 2023-08-11 23:59:59
2023-08-14  267.37  260.45  268.77  259.15  2.290279e+10   86724810 2023-08-14 23:59:59
2023-08-15  259.00  260.42  264.17  256.63  1.550342e+10   59232630 2023-08-15 23:59:59
2023-08-16  261.29  256.02  261.68  254.33  1.848074e+10   71823620 2023-08-16 23:59:59
2023-08-17  257.15  258.50  258.80  255.50  9.242382e+09   35937920 2023-08-17 23:59:59
2023-08-18  258.40  261.14  261.37  257.35  8.050824e+09   31064600 2023-08-18 23:59:59
2023-08-21  262.44  261.15  263.06  259.51  9.346056e+09   35766040 2023-08-21 23:59:59
2023-08-22  261.92  261.45  262.11  259.81  6.769123e+09   25953320 2023-08-22 23:59:59
2023-08-23  261.50  256.40  261.83  256.00  1.372091e+10   53116160 2023-08-23 23:59:59
2023-08-24  257.63  259.63  259.94  256.40  6.959479e+09   26979270 2023-08-24 23:59:59
2023-08-25  258.80  260.50  261.60  257.61  7.426718e+09   28575150 2023-08-25 23:59:59
2023-08-28  261.32  266.93  267.83  260.81  1.533407e+10   57897070 2023-08-28 23:59:59
2023-08-29  266.70  265.68  267.56  265.14  9.425505e+09   35407330 2023-08-29 23:59:59
2023-08-30  265.68  264.70  267.36  263.10  1.023703e+10   38604380 2023-08-30 23:59:59
2023-08-31  265.04  264.85  266.25  264.30  5.993344e+09   22582290 2023-08-31 23:59:59
2023-09-01  265.40  265.00  265.62  264.06  5.100562e+09   19265170 2023-09-01 23:59:59
2023-09-04  266.50  267.39  269.11  266.00  1.287704e+10   48140770 2023-09-04 23:59:59
2023-09-05  266.74  264.75  267.98  261.09  1.057130e+10   39811860 2023-09-05 23:59:59
2023-09-06  264.33  263.50  264.68  262.31  7.464967e+09   28341890 2023-09-06 23:59:59
2023-09-07  263.69  258.79  264.97  256.10  1.758695e+10   67688600 2023-09-07 23:59:59
2023-09-08  258.08  255.68  259.33  253.10  1.270314e+10   49562810 2023-09-08 23:59:59
2023-09-11  257.00  256.25  258.37  255.16  1.111881e+10   43282460 2023-09-11 23:59:59
2023-09-12  257.70  262.40  262.40  257.09  1.173450e+10   45160820 2023-09-12 23:59:59
2023-09-13  262.40  258.18  262.77  257.59  7.819067e+09   30051360 2023-09-13 23:59:59
2023-09-14  258.90  260.00  261.38  255.02  1.192682e+10   46227900 2023-09-14 23:59:59
2023-09-15  259.65  260.83  262.74  258.56  9.278013e+09   35581630 2023-09-15 23:59:59
2023-09-18  262.02  259.07  263.00  258.76  7.570775e+09   29037560 2023-09-18 23:59:59
2023-09-19  258.99  252.72  259.32  251.50  2.278804e+10   89551540 2023-09-19 23:59:59
2023-09-20  252.80  253.77  255.47  249.82  1.691662e+10   66831270 2023-09-20 23:59:59
2023-09-21  252.87  250.16  254.20  249.81  1.479503e+10   58913730 2023-09-21 23:59:59
2023-09-22  249.85  251.99  253.10  248.62  1.024337e+10   40714900 2023-09-22 23:59:59
2023-09-25  252.00  252.65  253.49  249.83  8.008925e+09   31863690 2023-09-25 23:59:59
2023-09-26  252.13  255.87  257.17  250.90  1.091247e+10   42960400 2023-09-26 23:59:59
2023-09-27  256.20  256.10  257.85  254.63  7.148790e+09   27880630 2023-09-27 23:59:59
2023-09-28  256.40  257.67  258.25  255.50  6.771651e+09   26331160 2023-09-28 23:59:59
2023-09-29  258.00  260.72  262.59  256.71  1.787062e+10   68533310 2023-09-29 23:59:59
2023-10-02  261.37  258.98  261.92  257.03  9.234132e+09   35574470 2023-10-02 23:59:59
2023-10-03  258.99  259.65  260.50  257.23  6.193849e+09   23911430 2023-10-03 23:59:59
2023-10-04  259.00  259.53  260.39  258.24  4.816207e+09   18571620 2023-10-04 23:59:59
2023-10-05  260.70  259.38  261.39  258.26  6.111705e+09   23501620 2023-10-05 23:59:59
2023-10-06  259.77  262.93  263.40  257.86  8.338547e+09   32001280 2023-10-06 23:59:59
2023-10-09  263.00  265.25  265.97  263.00  1.203676e+10   45447720 2023-10-09 23:59:59
2023-10-10  264.89  263.00  265.18  257.00  8.962447e+09   34001290 2023-10-10 23:59:59
